district,state,lat,lon,population,urbanity,fp_unmet_pct,institutional_birth_pct,csection_pct,anaemia_pct
Ahmedabad,Gujarat,22.93522,72.56891,null,null,null,null,null,null
Chennai,Tamil Nadu,12.79499,79.99739,null,null,6.9,100.0,50.5,50.3
Karnal,Haryana,29.67737,76.87059,null,null,5.4,99.0,18.7,61.9
Kanhangad,Kerala,12.01677,75.4084,null,null,null,null,null,null
Mumbai,Mumbai,19.08679,72.84501,null,null,null,null,null,null
Panchkula,Haryana,29.70261,76.78374,null,null,7.0,97.0,32.7,57.1
Latur,Latur,21.45787,80.19431,null,null,null,null,null,null
Chennai,Chennai,13.09124,80.20105,null,null,null,null,null,null
Hyderabad,Telengana,17.41378,78.42445,null,null,null,null,null,null
Patti,Punjab,31.51993,75.91855,null,null,null,null,null,null
Faridabad,Haryana,28.46604,77.23776,null,null,7.4,92.5,23.5,54.2
Payyanur,Kerala,11.68312,75.50098,null,null,null,null,null,null
Bareilly,Uttar Pradesh,28.16142,79.58904,null,null,5.9,75.1,15.5,60.8
Haldwani,Uttarakhand,29.28808,79.43121,null,null,null,null,null,null
Idar,Gujarat,23.50153,72.04372,null,null,null,null,null,null
Secunderabad,Telangana,17.52497,78.52207,null,null,null,null,null,null
Laheriasarai,Bihar,26.13896,85.90146,null,null,null,null,null,null
Edavanna,Kerala,11.11139,76.11984,null,null,null,null,null,null
Madurai East,Tamil Nadu,9.91351,78.12509,null,null,null,null,null,null
Nagercoil,Tamil Nadu,8.40243,77.45727,null,null,null,null,null,null
Chikhali,Maharashtra,21.11438,79.07146,null,null,null,null,null,null
Ashoknagarh-kalyangarh Kachua More,North 24 Parganas,24.13081,88.00681,null,null,null,null,null,null
Rahimatpur,Maharashtra,18.17128,73.00452,null,null,null,null,null,null
Nanded,Maharashtra,19.17757,76.78302,null,null,null,null,null,null
Rau Pusa,Bihar,25.31589,85.27495,null,null,null,null,null,null
Narela,Delhi,28.85152,77.08685,null,null,null,null,null,null
Mohali,Chandigarh,30.694,76.71765,null,null,null,null,null,null
Bihta,Bihar,25.54144,84.85707,null,null,null,null,null,null
Mangaluru,Karnataka,13.44037,74.98742,null,null,null,null,null,null
George Town,Uttar Pradesh,26.91138,80.94778,null,null,null,null,null,null
Dharmapuri,Tamil Nadu,12.13005,78.15141,null,null,8.5,99.6,29.1,42.5
Pathanamthitta,Kerala,9.28032,76.75115,null,null,12.3,99.1,57.6,36.4
Washim,Maharashtra,19.84848,76.0847,null,null,null,null,null,null
Purnea,Bihar,26.0898,86.49137,null,null,null,null,null,null
Sonepat,Haryana,28.92745,76.73367,null,null,null,null,null,null
Dombivli(w),Maharashtra,19.22248,73.0842,null,null,null,null,null,null
Chakan,Maharashtra,20.06636,78.94324,null,null,null,null,null,null
Athani,Karnataka,16.72785,75.05983,null,null,null,null,null,null
Boden,Odisha,21.58944,83.42685,null,null,null,null,null,null
Gopalganj,Bihar,26.43071,84.46751,null,null,19.4,85.9,9.1,53.8
Bayad,Gujarat,23.1594,71.67884,null,null,null,null,null,null
Changaramkulam,Kerala,10.72823,76.01421,null,null,null,null,null,null
Hardoi,Uttar Pradesh,27.39358,80.13559,null,null,13.4,73.9,7.0,59.7
Amravati,Amravati,20.93645,77.77058,null,null,null,null,null,null
Pavaratty,Kerala,10.56487,76.06201,null,null,null,null,null,null
Ottappalam,Palakkad,10.77951,76.37881,null,null,null,null,null,null
Kandivali West,Mumbai,19.21146,72.8407,null,null,null,null,null,null
Dharwad,Karnataka,14.41221,75.54548,null,null,6.3,99.7,29.9,52.1
Bijnor,Uttar Pradesh,29.38106,78.13807,null,null,5.0,83.7,22.4,46.0
Chandannagar,West Bengal,22.76703,88.52151,null,null,null,null,null,null
Pinjore,Haryana,30.80178,76.91651,null,null,null,null,null,null
Sas Nagar,Punjab,30.69853,76.70901,null,null,null,null,null,null
Greater Noida,"Ghaziabad, Uttar Pradesh",28.43328,77.48972,null,null,null,null,null,null
Pathanapuram,Kollam,11.93912,75.34792,null,null,null,null,null,null
Hastsal,Delhi,28.69138,77.07028,null,null,null,null,null,null
