facility_id,name,type,district,state,lat,lon,beds,annual_surgeries,offers_surgery,specialties,website_url,match_confidence
VF-000000,Mumbai District #0,District Hospital,Mumbai,Maharashtra,18.9537,72.85009,970,4229,True,Obstetrics & Gynaecology|Orthopaedics|Cataract / Ophthalmology|Paediatric Surgery,,0.715
VF-000001,Mumbai District #1,District Hospital,Mumbai,Maharashtra,19.00664,72.90748,12,0,False,,,0.999
VF-000002,Mumbai Community #2,Community Health Centre,Mumbai,Maharashtra,18.94192,72.90049,1533,7600,True,Burns & Reconstruction|Paediatric Surgery|Cataract / Ophthalmology|Cardiac|Cleft & Plastic|General Surgery,,0.722
VF-000003,Mumbai Community #3,Community Health Centre,Mumbai,Maharashtra,19.04689,72.68432,35,0,False,,,0.891
VF-000004,Mumbai Primary #4,Primary Health Centre,Mumbai,Maharashtra,19.33757,73.25872,11,0,False,,,0.647
VF-000005,Mumbai Primary #5,Primary Health Centre,Mumbai,Maharashtra,18.9695,72.82259,35,0,False,,,0.846
VF-000006,Mumbai Private #6,Private Hospital,Mumbai,Maharashtra,19.09657,72.85622,20,0,False,,,0.811
VF-000007,Mumbai Primary #7,Primary Health Centre,Mumbai,Maharashtra,19.11277,73.1086,8,0,False,,,0.958
VF-000008,Mumbai Private #8,Private Hospital,Mumbai,Maharashtra,18.92077,72.75057,33,0,False,,,0.778
VF-000009,Mumbai Private #9,Private Hospital,Mumbai,Maharashtra,18.95772,72.99904,1604,7621,True,ENT|Urology|Cardiac|Burns & Reconstruction|Paediatric Surgery|General Surgery,,0.877
VF-000010,Mumbai District #10,District Hospital,Mumbai,Maharashtra,19.09696,72.86146,1552,7281,True,Urology|Obstetrics & Gynaecology|Burns & Reconstruction|Orthopaedics|Cleft & Plastic|Cardiac|Cataract / Ophthalmology,,0.999
VF-000011,Mumbai Private #11,Private Hospital,Mumbai,Maharashtra,19.05248,72.8268,15,0,False,,,0.749
VF-000012,Mumbai Primary #12,Primary Health Centre,Mumbai,Maharashtra,19.16028,72.82531,27,0,False,,,0.894
VF-000013,Mumbai Primary #13,Primary Health Centre,Mumbai,Maharashtra,19.08787,72.96136,10,0,False,,,0.855
VF-000014,Mumbai District #14,District Hospital,Mumbai,Maharashtra,18.91634,72.76196,3,0,False,,,0.727
VF-000015,Mumbai Primary #15,Primary Health Centre,Mumbai,Maharashtra,19.01257,72.83407,43,0,False,,,0.914
VF-000016,Mumbai Medical #16,Medical College Hospital,Mumbai,Maharashtra,19.05576,72.78583,997,1445,True,Orthopaedics|Cardiac|General Surgery|Cataract / Ophthalmology|ENT|Paediatric Surgery,,0.831
VF-000017,Mumbai Community #17,Community Health Centre,Mumbai,Maharashtra,18.99862,72.91834,1546,6672,True,ENT|Obstetrics & Gynaecology|Cleft & Plastic|Paediatric Surgery|General Surgery,,0.999
VF-000018,Mumbai Primary #18,Primary Health Centre,Mumbai,Maharashtra,18.96113,72.86465,17,0,False,,,0.999
VF-000019,Mumbai Primary #19,Primary Health Centre,Mumbai,Maharashtra,18.93232,73.11764,28,0,False,,,0.743
VF-000020,Mumbai Community #20,Community Health Centre,Mumbai,Maharashtra,19.12074,73.10346,55,0,False,,,0.938
VF-000021,Mumbai Primary #21,Primary Health Centre,Mumbai,Maharashtra,19.02672,72.85947,10,0,False,,,0.836
VF-000022,Mumbai Primary #22,Primary Health Centre,Mumbai,Maharashtra,19.10641,72.80425,31,0,False,,,0.876
VF-000023,Mumbai Primary #23,Primary Health Centre,Mumbai,Maharashtra,19.08296,72.87701,41,0,False,,,0.892
VF-000024,Mumbai Primary #24,Primary Health Centre,Mumbai,Maharashtra,19.44464,73.15121,57,0,False,,,0.784
VF-000025,Mumbai Primary #25,Primary Health Centre,Mumbai,Maharashtra,19.11021,72.73127,26,0,False,,,0.886
VF-000026,Mumbai Private #26,Private Hospital,Mumbai,Maharashtra,18.84746,72.99849,15,0,False,,,0.813
VF-000027,Mumbai District #27,District Hospital,Mumbai,Maharashtra,19.08287,72.83873,433,2092,True,Cleft & Plastic|Urology|Burns & Reconstruction|General Surgery|Cardiac|Orthopaedics,,0.823
VF-000028,Mumbai Community #28,Community Health Centre,Mumbai,Maharashtra,19.11897,73.10328,31,0,False,,,0.827
VF-000029,Mumbai Primary #29,Primary Health Centre,Mumbai,Maharashtra,18.93807,72.83319,23,0,False,,,0.918
VF-000030,Mumbai Community #30,Community Health Centre,Mumbai,Maharashtra,19.23024,72.93452,30,0,False,,,0.943
VF-000031,Mumbai Community #31,Community Health Centre,Mumbai,Maharashtra,19.08472,72.78564,39,0,False,,,0.742
VF-000032,Mumbai District #32,District Hospital,Mumbai,Maharashtra,19.05102,73.03043,1331,3160,True,Cataract / Ophthalmology|Cardiac|Cleft & Plastic|Urology|Orthopaedics,,0.924
VF-000033,Mumbai District #33,District Hospital,Mumbai,Maharashtra,18.9432,72.88129,36,0,False,,,0.793
VF-000034,Mumbai Community #34,Community Health Centre,Mumbai,Maharashtra,18.99055,73.02835,29,0,False,,,0.89
VF-000035,Mumbai District #35,District Hospital,Mumbai,Maharashtra,19.13022,73.08872,29,0,False,,,0.801
VF-000036,Mumbai Primary #36,Primary Health Centre,Mumbai,Maharashtra,18.86881,73.07035,44,0,False,,,0.803
VF-000037,Mumbai District #37,District Hospital,Mumbai,Maharashtra,19.21597,72.90751,26,0,False,,,0.887
VF-000038,Mumbai Primary #38,Primary Health Centre,Mumbai,Maharashtra,19.05667,72.85702,7,0,False,,,0.754
VF-000039,Mumbai Primary #39,Primary Health Centre,Mumbai,Maharashtra,19.27007,72.77959,56,0,False,,,0.88
VF-000040,Mumbai Community #40,Community Health Centre,Mumbai,Maharashtra,19.0775,73.05109,51,0,False,,,0.915
VF-000041,Mumbai Private #41,Private Hospital,Mumbai,Maharashtra,19.04912,72.61454,57,0,False,,,0.814
VF-000042,Mumbai Primary #42,Primary Health Centre,Mumbai,Maharashtra,19.24755,72.6671,58,0,False,,,0.781
VF-000043,Mumbai Primary #43,Primary Health Centre,Mumbai,Maharashtra,19.14467,72.91319,28,0,False,,,0.629
VF-000044,Mumbai Private #44,Private Hospital,Mumbai,Maharashtra,19.0142,72.93718,1086,4810,True,Paediatric Surgery|Cataract / Ophthalmology,,0.883
VF-000045,Mumbai Primary #45,Primary Health Centre,Mumbai,Maharashtra,18.98369,72.85347,7,0,False,,,0.942
VF-000046,Mumbai Private #46,Private Hospital,Mumbai,Maharashtra,19.14427,72.84218,1284,6507,True,Burns & Reconstruction|Urology|Cleft & Plastic|ENT|General Surgery|Paediatric Surgery|Obstetrics & Gynaecology|Orthopaedics,,0.993
VF-000047,Mumbai Primary #47,Primary Health Centre,Mumbai,Maharashtra,18.9752,73.05432,42,0,False,,,0.776
VF-000048,Mumbai Primary #48,Primary Health Centre,Mumbai,Maharashtra,18.88205,72.76065,7,0,False,,,0.999
VF-000049,Mumbai Community #49,Community Health Centre,Mumbai,Maharashtra,19.12746,72.74069,1280,1461,True,Paediatric Surgery|Burns & Reconstruction|Orthopaedics|Cleft & Plastic,,0.753
VF-000050,Mumbai Community #50,Community Health Centre,Mumbai,Maharashtra,19.13205,72.85221,27,0,False,,,0.992
VF-000051,Mumbai Primary #51,Primary Health Centre,Mumbai,Maharashtra,18.88253,73.01681,10,0,False,,,0.971
VF-000052,Mumbai Primary #52,Primary Health Centre,Mumbai,Maharashtra,19.05882,72.92269,9,0,False,,,0.867
VF-000053,Mumbai Primary #53,Primary Health Centre,Mumbai,Maharashtra,19.21699,72.76622,8,0,False,,,0.857
VF-000054,Mumbai Primary #54,Primary Health Centre,Mumbai,Maharashtra,18.96683,72.66877,36,0,False,,,0.814
VF-000055,Mumbai Primary #55,Primary Health Centre,Mumbai,Maharashtra,19.32978,73.02189,20,0,False,,,0.895
VF-000056,Mumbai District #56,District Hospital,Mumbai,Maharashtra,19.03875,72.90128,862,6219,True,Obstetrics & Gynaecology|ENT|Orthopaedics|General Surgery|Urology,,0.869
VF-000057,Mumbai Private #57,Private Hospital,Mumbai,Maharashtra,19.06856,72.85468,44,0,False,,,0.903
